4twp	4twp_protein_Repair_1	2v7a_ligand_similar_143	-8.6
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_144	-8.3
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_145	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_146	-8.5
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_147	-8.6
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_148	-9.2
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_149	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_15	-9.7
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_150	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_151	-8.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_152	-8.8
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_153	-8.3
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_154	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_155	-8.1
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_156	-8.2
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_157	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_158	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_159	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_16	-9.2
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_160	-9.0
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_161	-7.9
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_162	-8.8
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_163	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_164	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_165	-8.7
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_166	-8.3
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_167	-8.6
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_168	-9.5
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_169	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_17	-8.2
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_170	-8.5
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_171	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_172	-8.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_173	-8.6
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_174	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_175	-9.6
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_176	-9.6
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_177	-9.2
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_178	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_179	-9.3
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_18	-9.8
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_180	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_181	-8.7
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_182	-8.9
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_183	-7.9
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_184	-9.3
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_185	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_186	-8.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_187	-7.9
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_188	-7.9
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_189	-7.8
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_19	-9.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_190	-7.7
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_191	-8.4
