pdb,ligand_file,chembl_id,tanimoto_index
4crc,4cr9_ligand_similar_77,CHEMBL343190,0.653061
4crc,4ty7_ligand_similar_88,CHEMBL1259028,0.629032
4crc,4ty7_ligand_similar_105,CHEMBL1259027,0.608696
4crc,4cr9_ligand_similar_83,CHEMBL406450,0.647059
4crc,4cra_ligand_similar_60,CHEMBL502830,0.62987
4crc,4cr9_ligand_similar_171,CHEMBL87452,0.611111
4crc,4cra_ligand_similar_113,CHEMBL4086442,0.614458
4crc,4x6p_ligand_similar_54,CHEMBL4067808,0.634981
4crc,4ty7_ligand_similar_83,CHEMBL261735,0.633803
4crc,4cr9_ligand_similar_57,CHEMBL261854,0.673469
4crc,4cra_ligand_similar_165,CHEMBL370178,0.603774
4crc,4x6p_ligand_similar_25,CHEMBL3699227,0.662879
4crc,4crc_ligand_similar_79,CHEMBL4100970,0.62
4crc,4cr9_ligand_similar_91,CHEMBL547990,0.640625
4crc,4x6p_ligand_similar_88,CHEMBL4063677,0.619926
4crc,4x6p_ligand_similar_64,CHEMBL4083064,0.630996
4crc,4cra_ligand_similar_153,CHEMBL3925296,0.605634
4crc,4x6p_ligand_similar_93,CHEMBL3699219,0.611722
4crc,4crc_ligand_similar_33,CHEMBL4062109,0.694064
4crc,4ty7_ligand_similar_101,CHEMBL502602,0.613636
4crc,4cr9_ligand_similar_89,CHEMBL1643366,0.642857
4crc,4cr9_ligand_similar_90,CHEMBL1643367,0.642857
4crc,4cr9_ligand_similar_54,CHEMBL1896452,0.673469
4crc,4cr9_ligand_similar_153,CHEMBL98682,0.615385
4crc,4cra_ligand_similar_150,CHEMBL3754193,0.60625
4crc,4cra_ligand_similar_10,CHEMBL236643,0.658385
4crc,4cr9_ligand_similar_165,CHEMBL26195,0.61194
4crc,4cra_ligand_similar_22,CHEMBL324022,0.64375
4crc,4cra_ligand_similar_52,CHEMBL3945815,0.632353
4crc,4cra_ligand_similar_103,CHEMBL3920714,0.617284
4crc,4cr9_ligand_similar_140,CHEMBL302356,0.622642
4crc,4cra_ligand_similar_107,CHEMBL305740,0.615894
4crc,4cra_ligand_similar_137,CHEMBL37095,0.576159
4crc,4cr9_ligand_similar_185,CHEMBL99408,0.604651
4crc,4crc_ligand_similar_47,CHEMBL4096583,0.678112
4crc,4cr9_ligand_similar_187,CHEMBL326430,0.604167
4crc,4cra_ligand_similar_87,CHEMBL454534,0.596273
4crc,4cr9_ligand_similar_80,CHEMBL2135849,0.647059
4crc,4cr9_ligand_similar_56,CHEMBL1865624,0.673469
4crc,4ty7_ligand_similar_118,CHEMBL487143,0.601093
4crc,4cr9_ligand_similar_127,CHEMBL3689562,0.625
4crc,4crc_ligand_similar_26,CHEMBL4077773,0.719626
4crc,4ty7_ligand_similar_58,CHEMBL3547267,0.666667
4crc,4ty7_ligand_similar_45,CHEMBL3547266,0.68306
4crc,4cra_ligand_similar_92,CHEMBL3937132,0.620253
4crc,4crc_ligand_similar_36,CHEMBL4078868,0.690583
4crc,4crc_ligand_similar_6,CHEMBL3751935,0.920904
4crc,4cra_ligand_similar_7,CHEMBL360103,0.661871
4crc,4x6p_ligand_similar_10,CHEMBL4092939,0.72332
4crc,4cr9_ligand_similar_93,CHEMBL293022,0.64
4crc,4cr9_ligand_similar_122,CHEMBL316589,0.627451
4crc,4cr9_ligand_similar_192,CHEMBL1571901,0.603774
4crc,4cra_ligand_similar_166,CHEMBL308721,0.603774
4crc,4cr9_ligand_similar_2,CHEMBL27236,0.854167
4crc,4cr9_ligand_similar_7,CHEMBL361660,0.8
4crc,4cra_ligand_similar_163,CHEMBL559776,0.603774
4crc,4crc_ligand_similar_76,CHEMBL3780001,0.628319
4crc,4x6p_ligand_similar_89,CHEMBL3699213,0.619926
4crc,4x6p_ligand_similar_35,CHEMBL3699211,0.642586
4crc,4cr9_ligand_similar_157,CHEMBL545976,0.612903
4crc,4x6p_ligand_similar_42,CHEMBL3699215,0.636364
4crc,4x6p_ligand_similar_51,CHEMBL4090854,0.634981
4crc,4cra_ligand_similar_77,CHEMBL2382074,0.625806
4crc,4x6p_ligand_similar_20,CHEMBL4088528,0.677778
4crc,4cr9_ligand_similar_124,CHEMBL3290801,0.627119
4crc,4crc_ligand_similar_32,CHEMBL3982298,0.696682
4crc,4cra_ligand_similar_136,CHEMBL38133,0.576159
4crc,4cr9_ligand_similar_111,CHEMBL1621339,0.630769
4crc,4cr9_ligand_similar_21,CHEMBL3357797,0.727273
4crc,4cr9_ligand_similar_20,CHEMBL3357798,0.727273
4crc,4cra_ligand_similar_143,CHEMBL3981083,0.607362
4crc,4cr9_ligand_similar_199,CHEMBL1386638,0.602941
4crc,4cr9_ligand_similar_172,CHEMBL1484180,0.545455
4crc,4crc_ligand_similar_34,CHEMBL4105579,0.693694
4crc,4ty7_ligand_similar_114,CHEMBL466013,0.602151
4crc,4cr9_ligand_similar_22,CHEMBL281983,0.723404
4crc,4x6p_ligand_similar_9,CHEMBL4104014,0.729084
4crc,4cra_ligand_similar_115,CHEMBL452095,0.590062
4crc,4ty7_ligand_similar_46,CHEMBL3547697,0.681081
4crc,4crc_ligand_similar_59,CHEMBL4090783,0.655319
4crc,4ty7_ligand_similar_54,CHEMBL3547696,0.672043
4crc,4cra_ligand_similar_44,CHEMBL231940,0.635135
4crc,4ty7_ligand_similar_81,CHEMBL456213,0.633803
4crc,4cr9_ligand_similar_38,CHEMBL580033,0.696429
4crc,4crc_ligand_similar_23,CHEMBL3752266,0.781991
4crc,4cra_ligand_similar_29,CHEMBL400658,0.638298
4crc,4cra_ligand_similar_79,CHEMBL3909665,0.624204
4crc,4crc_ligand_similar_38,CHEMBL4063157,0.687225
4crc,4crc_ligand_similar_80,CHEMBL4078562,0.618474
4crc,4cra_ligand_similar_97,CHEMBL3448163,0.618705
4crc,4cr9_ligand_similar_121,CHEMBL3358228,0.627451
4crc,4crc_ligand_similar_58,CHEMBL3701231,0.655462
4crc,4ty7_ligand_similar_106,CHEMBL444232,0.608108
4crc,4crc_ligand_similar_1,CHEMBL3753020,1
4crc,4ty7_ligand_similar_121,CHEMBL3393370,0.601064
4crc,4ty7_ligand_similar_108,CHEMBL453396,0.605381
4crc,4ty7_ligand_similar_17,CHEMBL3393373,0.805714
4crc,4crc_ligand_similar_88,CHEMBL4099224,0.607843
4crc,4cr9_ligand_similar_193,CHEMBL1340412,0.522388
4crc,4crc_ligand_similar_89,CHEMBL3920798,0.606299
4crc,4ty7_ligand_similar_94,CHEMBL2159112,0.617801
4crc,4cra_ligand_similar_49,CHEMBL248593,0.633803
4crc,4cra_ligand_similar_53,CHEMBL2208296,0.631579
4crc,4crc_ligand_similar_31,CHEMBL3701227,0.7
4crc,4crc_ligand_similar_24,CHEMBL3701224,0.75
4crc,4cra_ligand_similar_2,CHEMBL3933551,0.686667
4crc,4crc_ligand_similar_28,CHEMBL3701225,0.712963
4crc,4cra_ligand_similar_78,CHEMBL160077,0.625806
4crc,4crc_ligand_similar_43,CHEMBL3701220,0.681416
4crc,4cr9_ligand_similar_120,CHEMBL1868051,0.627451
4crc,4cra_ligand_similar_154,CHEMBL1892141,0.605634
4crc,4cra_ligand_similar_63,CHEMBL320976,0.629139
4crc,4cr9_ligand_similar_28,CHEMBL529322,0.709091
4crc,4crc_ligand_similar_25,CHEMBL3701219,0.729858
4crc,4cr9_ligand_similar_158,CHEMBL528478,0.612903
4crc,4ty7_ligand_similar_110,CHEMBL467679,0.605
4crc,4ty7_ligand_similar_119,CHEMBL467678,0.601093
4crc,4cr9_ligand_similar_60,CHEMBL3290793,0.672727
4crc,4cra_ligand_similar_182,CHEMBL3919022,0.601227
4crc,4cr9_ligand_similar_183,CHEMBL216973,0.604651
4crc,4cra_ligand_similar_75,CHEMBL3900760,0.626582
4crc,4ty7_ligand_similar_27,CHEMBL3547541,0.758065
4crc,4cr9_ligand_similar_44,CHEMBL2393221,0.6875
4crc,4ty7_ligand_similar_47,CHEMBL3547660,0.679144
4crc,4cr9_ligand_similar_150,CHEMBL3290797,0.615385
4crc,4cr9_ligand_similar_49,CHEMBL3290798,0.680851
4crc,4cra_ligand_similar_31,CHEMBL251615,0.638298
4crc,4crc_ligand_similar_85,CHEMBL3663886,0.610895
4crc,4crc_ligand_similar_84,CHEMBL3663884,0.611111
4crc,4crc_ligand_similar_90,CHEMBL3663881,0.606299
4crc,4crc_ligand_similar_45,CHEMBL3663882,0.678414
4crc,4crc_ligand_similar_53,CHEMBL3663880,0.663793
4crc,4cr9_ligand_similar_97,CHEMBL1362873,0.638298
4crc,4x6p_ligand_similar_85,CHEMBL4077140,0.619926
4crc,4ty7_ligand_similar_73,CHEMBL3352850,0.649746
4crc,4x6p_ligand_similar_79,CHEMBL3781742,0.621723
4crc,4cr9_ligand_similar_5,CHEMBL3290784,0.8
4crc,4cra_ligand_similar_96,CHEMBL4104334,0.619632
4crc,4cr9_ligand_similar_34,CHEMBL3290780,0.697674
4crc,4cr9_ligand_similar_154,CHEMBL27753,0.613636
4crc,4cr9_ligand_similar_190,CHEMBL3290786,0.52459
4crc,4crc_ligand_similar_86,CHEMBL3752066,0.610577
4crc,4crc_ligand_similar_66,CHEMBL3663895,0.641667
4crc,4cra_ligand_similar_168,CHEMBL120441,0.603774
4crc,4cra_ligand_similar_158,CHEMBL3463103,0.604317
4crc,4cra_ligand_similar_170,CHEMBL3955876,0.60274
4crc,4cra_ligand_similar_178,CHEMBL509715,0.579268
4crc,4cr9_ligand_similar_55,CHEMBL1875515,0.673469
4crc,4cr9_ligand_similar_125,CHEMBL4078323,0.625
4crc,4crc_ligand_similar_83,CHEMBL4087166,0.611111
4crc,4crc_ligand_similar_82,CHEMBL4093842,0.611111
4crc,4crc_ligand_similar_65,CHEMBL4089581,0.642276
4crc,4cr9_ligand_similar_108,CHEMBL343617,0.632653
4crc,4cra_ligand_similar_125,CHEMBL400227,0.610738
4crc,4cra_ligand_similar_28,CHEMBL400103,0.638298
4crc,4cra_ligand_similar_181,CHEMBL72763,0.601266
